,LFshockVel,RFshockVel,LRshockVel,RRshockVel,LFshockDefl,RFshockDefl,LRshockDefl,RRshockDefl,LFrideHeight,RFrideHeight,LRrideHeight,RRrideHeight,LFtempL,LFtempM,LFtempR,RFtempL,RFtempM,RFtempR,LRtempL,LRtempM,LRtempR,RRtempL,RRtempM,RRtempR,LapLastLapTime,VelocityX,VelocityY,VelocityZ
LFshockVel,1.0,0.663459896061586,0.06547255018020118,0.04817436989148134,-0.05396292695724569,-0.06420141666170158,-0.058424331120531095,-0.10566317638657724,0.054791930089274084,0.07068336208186665,0.03070305175358905,0.13911181163360137,-0.09309197153813427,-0.09384453737733232,-0.09952372495100575,-0.07254774495365264,-0.07135661508010564,-0.0666802657898085,-0.0360373458876057,-0.035889992491831835,-0.030632097726520643,-0.03636074229375982,-0.03502910426688557,-0.026572725481516374,0.03199157580958781,0.10093718266492761,0.06085392472814587,-0.09158537062787662
RFshockVel,0.663459896061586,1.0,0.03562601344217354,0.04127199451485111,-0.03517831481393267,-0.03950040534710864,-0.08290025805578054,-0.09798569313919592,0.03827441666273051,0.04738004040254082,0.07183258011363697,0.1111596864249876,-0.09511218694011815,-0.0952386181317835,-0.08835868072934255,-0.07909889352067698,-0.0789176260864447,-0.07510184483903071,-0.07214675825127054,-0.07128882509646813,-0.06918613714866009,-0.06577845213979078,-0.06485313541642396,-0.05871915616694521,0.012219100805568667,0.09549982251039385,0.020564941655175133,-0.06529571423633426
LRshockVel,0.06547255018020118,0.03562601344217354,1.0,0.7309805269152354,0.096056833775826,0.09180066883365252,0.0034187062816005485,0.032028518850891675,-0.11466679054508429,-0.09834568375573725,-0.04163876249613668,-0.0540153084765892,0.05208825226143584,0.05113608225306792,0.05221095785689747,0.03141982892621869,0.030691528702184688,0.028846830277548353,0.05595203589660865,0.059569567079987576,0.043761729804369695,0.04260012155164257,0.04284979098398301,0.03501507541065503,0.030712200563871722,-0.07027538971180239,-0.06756889817872058,-0.0045296777666880015
RRshockVel,0.04817436989148134,0.04127199451485111,0.7309805269152354,1.0,0.123179478450947,0.10822698263492202,-0.022292395475078997,-0.00023121710998651648,-0.13543964128030114,-0.11055190843356011,-0.028127007552879644,-0.03407795523107686,0.005786297361731285,0.0047716339672096465,0.021014848107486314,-0.00834944286737822,-0.007247708341439207,-0.008008615940705273,-0.0027805274334361703,0.0011429484275509538,-0.011450905858028831,-0.01751060878666968,-0.016849743526135597,-0.016244191022429317,0.0375479098425917,-0.043069389672821826,-0.03310187264200007,0.010811352738664574
LFshockDefl,-0.05396292695724569,-0.03517831481393267,0.096056833775826,0.123179478450947,1.0,0.9348799534523706,-0.27554399935088836,0.0670251019511265,-0.9784350735403514,-0.9364454496743335,0.38114153852284366,-0.44976471314521077,0.10404642415211168,0.10042748499321015,0.21268550812126105,0.014043624870870682,0.010485411479018462,-0.036513851547117324,-0.47610765131112304,-0.4737844913168777,-0.5250480857500645,-0.4956100103835295,-0.4946658106212909,-0.5273093689282896,0.11751420937763674,-0.31088396699033544,-0.16126938184226894,0.7884653590899683
RFshockDefl,-0.06420141666170158,-0.03950040534710864,0.09180066883365252,0.10822698263492202,0.9348799534523706,1.0,-0.27461396508443414,0.1789511209466865,-0.902803855109374,-0.9915864719437422,0.5359860526741784,-0.6161987095941185,0.20076308121641476,0.19227716598897665,0.2675717539624731,0.10345492402771306,0.09393658596805836,0.039859636920746615,-0.4485970671695035,-0.44670145050859195,-0.5014951260512582,-0.4597425288565658,-0.45950949151537857,-0.5209837187068568,0.11009565163038833,-0.44148851566179614,-0.3735792445530722,0.793345642444162
LRshockDefl,-0.058424331120531095,-0.08290025805578054,0.0034187062816005485,-0.022292395475078997,-0.27554399935088836,-0.27461396508443414,1.0,0.8223019500791328,0.23860987268360517,0.24933030220734836,-0.82270212340201,-0.42721202691867954,0.04509169192419725,0.0473660994245776,-0.0733206283394203,0.23562574469804448,0.231824162583054,0.2339615805839277,0.1887441814816582,0.19199050354836694,0.2607378836765807,0.26454460294975973,0.2644390929035602,0.19959850233200851,-0.044375556992806056,0.04192818087659509,0.3095872692948877,-0.6890443812368966
RRshockDefl,-0.10566317638657724,-0.09798569313919592,0.032028518850891675,-0.00023121710998651648,0.0670251019511265,0.1789511209466865,0.8223019500791328,1.0,-0.09914795999579168,-0.2038940317643132,-0.39097423343113247,-0.8541105482716831,0.3637027249402784,0.36171224660805856,0.23657738001656772,0.5119082261012995,0.497980971112746,0.4711022426951983,0.10089801537525939,0.10531699218572328,0.15020675782331558,0.2095710477460964,0.2092343575233207,0.08031312219858726,0.002742657663471547,-0.33777265764489106,-0.09410380512291867,-0.29826989768178763
LFrideHeight,0.054791930089274084,0.03827441666273051,-0.11466679054508429,-0.13543964128030114,-0.9784350735403514,-0.902803855109374,0.23860987268360517,-0.09914795999579168,1.0,0.9275197502968187,-0.32521694943759794,0.4653307435176964,-0.21160840914292486,-0.2071881325866779,-0.31558926835036794,-0.13064983941398434,-0.1303261379347431,-0.08830972503114307,0.3581139869755963,0.3559547279996626,0.4088943424968718,0.3800674308079966,0.3795655931912411,0.4011621579801839,-0.14574658057742026,0.40980548640724224,0.13834336388480403,-0.7951526745019548
RFrideHeight,0.07068336208186665,0.04738004040254082,-0.09834568375573725,-0.11055190843356011,-0.9364454496743335,-0.9915864719437422,0.24933030220734836,-0.2038940317643132,0.9275197502968187,1.0,-0.5020546143894101,0.6345752459577246,-0.2704771944263983,-0.26134990363224286,-0.33819354540743,-0.17906394750422602,-0.17168941278241792,-0.1202777751461649,0.3826117398288054,0.3809800000309333,0.43692486452446283,0.39619003497310257,0.39621460120524765,0.45112461527940106,-0.12695566287539106,0.5110414731950035,0.3488394534681662,-0.8079277624513503
LRrideHeight,0.03070305175358905,0.07183258011363697,-0.04163876249613668,-0.028127007552879644,0.38114153852284366,0.5359860526741784,-0.82270212340201,-0.39097423343113247,-0.32521694943759794,-0.5020546143894101,1.0,-0.08397585900317263,0.1672157172411841,0.16117162801392237,0.22966581730531005,0.01763167237177181,0.007672011246434318,-0.018655223135215046,-0.26145790477286907,-0.2629473322339963,-0.32049156221877645,-0.27339611266554614,-0.27376452665584705,-0.2965391082779624,0.030120807972658977,-0.2868929070461145,-0.6223038515475117,0.718478632000809
RRrideHeight,0.13911181163360137,0.1111596864249876,-0.0540153084765892,-0.03407795523107686,-0.44976471314521077,-0.6161987095941185,-0.42721202691867954,-0.8541105482716831,0.4653307435176964,0.6345752459577246,-0.08397585900317263,1.0,-0.5008572354102181,-0.49404640422215956,-0.4149538100553708,-0.5542763171299255,-0.5368968827030375,-0.48881531561115105,0.05709979202570284,0.05316002277616196,0.05003279216955688,-0.029631880472696694,-0.02922584388993566,0.11052538363559541,-0.055862083415324476,0.582383550897002,0.38318921829345637,-0.19914244096366646
LFtempL,-0.09309197153813427,-0.09511218694011815,0.05208825226143584,0.005786297361731285,0.10404642415211168,0.20076308121641476,0.04509169192419725,0.3637027249402784,-0.21160840914292486,-0.2704771944263983,0.1672157172411841,-0.5008572354102181,1.0,0.9985592041041117,0.853139770402177,0.9500871588326393,0.9480260471515487,0.9291958052787596,0.6106385039894259,0.6139596576328027,0.5774691703770037,0.6477420469439447,0.6474396998291372,0.569088119259418,0.14872818064340793,-0.8876387668136805,-0.32359603814812715,0.339975221714076
LFtempM,-0.09384453737733232,-0.0952386181317835,0.05113608225306792,0.0047716339672096465,0.10042748499321015,0.19227716598897665,0.0473660994245776,0.36171224660805856,-0.2071881325866779,-0.26134990363224286,0.16117162801392237,-0.49404640422215956,0.9985592041041117,1.0,0.8489837115200847,0.9479565703756414,0.945670167644107,0.9264687042919527,0.6106707702332835,0.6144122863300286,0.5778051748407341,0.6509018971539311,0.6506504999968071,0.5696496556261148,0.14709602504515626,-0.8738793759637337,-0.32252104516555896,0.3314079272922453
LFtempR,-0.09952372495100575,-0.08835868072934255,0.05221095785689747,0.021014848107486314,0.21268550812126105,0.2675717539624731,-0.0733206283394203,0.23657738001656772,-0.31558926835036794,-0.33819354540743,0.22966581730531005,-0.4149538100553708,0.853139770402177,0.8489837115200847,1.0,0.809061803177268,0.8117724458781004,0.8022073582747152,0.4257119522432724,0.4241900091074199,0.3907141379840679,0.43916982610268873,0.43724927862177615,0.4036616916114539,0.2053918207823054,-0.7987826129163573,-0.19350677171857597,0.43836743955137647
RFtempL,-0.07254774495365264,-0.07909889352067698,0.03141982892621869,-0.00834944286737822,0.014043624870870682,0.10345492402771306,0.23562574469804448,0.5119082261012995,-0.13064983941398434,-0.17906394750422602,0.01763167237177181,-0.5542763171299255,0.9500871588326393,0.9479565703756414,0.809061803177268,1.0,0.9990061976364716,0.9922942909443158,0.6166420052379229,0.6199032874665459,0.617492529277539,0.6827024027070407,0.6819273053943322,0.6125163318479329,0.11442468872009337,-0.8433750908034091,-0.22586084864320494,0.17086632040711056
RFtempM,-0.07135661508010564,-0.0789176260864447,0.030691528702184688,-0.007247708341439207,0.010485411479018462,0.09393658596805836,0.231824162583054,0.497980971112746,-0.1303261379347431,-0.17168941278241792,0.007672011246434318,-0.5368968827030375,0.9480260471515487,0.945670167644107,0.8117724458781004,0.9990061976364716,1.0,0.9954839310511033,0.6216906516277633,0.6246626152743274,0.6219134624305745,0.6836625931311587,0.6827769140655248,0.6220450708414801,0.11746163986204279,-0.845446483045382,-0.20782360388567775,0.17291778736954036
RFtempR,-0.0666802657898085,-0.07510184483903071,0.028846830277548353,-0.008008615940705273,-0.036513851547117324,0.039859636920746615,0.2339615805839277,0.4711022426951983,-0.08830972503114307,-0.1202777751461649,-0.018655223135215046,-0.48881531561115105,0.9291958052787596,0.9264687042919527,0.8022073582747152,0.9922942909443158,0.9954839310511033,1.0,0.6416559362361267,0.6438851508545022,0.645170706180593,0.6993009820888383,0.6981008914541721,0.6553440417424957,0.11624487577321593,-0.8267641884335478,-0.17108330339355407,0.14080501144835314
LRtempL,-0.0360373458876057,-0.07214675825127054,0.05595203589660865,-0.0027805274334361703,-0.47610765131112304,-0.4485970671695035,0.1887441814816582,0.10089801537525939,0.3581139869755963,0.3826117398288054,-0.26145790477286907,0.05709979202570284,0.6106385039894259,0.6106707702332835,0.4257119522432724,0.6166420052379229,0.6216906516277633,0.6416559362361267,1.0,0.9980790946159493,0.9906118628575459,0.9789256158918204,0.9785893747656628,0.9777489790656266,0.0881559129532798,-0.42410995120018347,-0.10349481298287692,-0.19339627222705208
LRtempM,-0.035889992491831835,-0.07128882509646813,0.059569567079987576,0.0011429484275509538,-0.4737844913168777,-0.44670145050859195,0.19199050354836694,0.10531699218572328,0.3559547279996626,0.3809800000309333,-0.2629473322339963,0.05316002277616196,0.6139596576328027,0.6144122863300286,0.4241900091074199,0.6199032874665459,0.6246626152743274,0.6438851508545022,0.9980790946159493,1.0,0.9909968173238951,0.9807216559415847,0.9804768424962238,0.9767011687813807,0.08380466057492644,-0.4235108144145065,-0.10589728436469258,-0.19489765536156492
LRtempR,-0.030632097726520643,-0.06918613714866009,0.043761729804369695,-0.011450905858028831,-0.5250480857500645,-0.5014951260512582,0.2607378836765807,0.15020675782331558,0.4088943424968718,0.43692486452446283,-0.32049156221877645,0.05003279216955688,0.5774691703770037,0.5778051748407341,0.3907141379840679,0.617492529277539,0.6219134624305745,0.645170706180593,0.9906118628575459,0.9909968173238951,1.0,0.9856800158204597,0.9852822173090295,0.9813176927943128,0.0636692014974481,-0.37761978084917786,-0.06582893252218254,-0.2757233756261895
RRtempL,-0.03636074229375982,-0.06577845213979078,0.04260012155164257,-0.01751060878666968,-0.4956100103835295,-0.4597425288565658,0.26454460294975973,0.2095710477460964,0.3800674308079966,0.39619003497310257,-0.27339611266554614,-0.029631880472696694,0.6477420469439447,0.6509018971539311,0.43916982610268873,0.6827024027070407,0.6836625931311587,0.6993009820888383,0.9789256158918204,0.9807216559415847,0.9856800158204597,1.0,0.9994159371882471,0.9689707931304695,0.07138270153298533,-0.41825261309535267,-0.14227236022160308,-0.25583495303321513
RRtempM,-0.03502910426688557,-0.06485313541642396,0.04284979098398301,-0.016849743526135597,-0.4946658106212909,-0.45950949151537857,0.2644390929035602,0.2092343575233207,0.3795655931912411,0.39621460120524765,-0.27376452665584705,-0.02922584388993566,0.6474396998291372,0.6506504999968071,0.43724927862177615,0.6819273053943322,0.6827769140655248,0.6981008914541721,0.9785893747656628,0.9804768424962238,0.9852822173090295,0.9994159371882471,1.0,0.9682465324769512,0.0699103397067362,-0.4167314851674528,-0.1435989132069646,-0.25595187042159984
RRtempR,-0.026572725481516374,-0.05871915616694521,0.03501507541065503,-0.016244191022429317,-0.5273093689282896,-0.5209837187068568,0.19959850233200851,0.08031312219858726,0.4011621579801839,0.45112461527940106,-0.2965391082779624,0.11052538363559541,0.569088119259418,0.5696496556261148,0.4036616916114539,0.6125163318479329,0.6220450708414801,0.6553440417424957,0.9777489790656266,0.9767011687813807,0.9813176927943128,0.9689707931304695,0.9682465324769512,1.0,0.08124241210011303,-0.37852986389386184,-0.056403994487752906,-0.24427734852303143
LapLastLapTime,0.03199157580958781,0.012219100805568667,0.030712200563871722,0.0375479098425917,0.11751420937763674,0.11009565163038833,-0.044375556992806056,0.002742657663471547,-0.14574658057742026,-0.12695566287539106,0.030120807972658977,-0.055862083415324476,0.14872818064340793,0.14709602504515626,0.2053918207823054,0.11442468872009337,0.11746163986204279,0.11624487577321593,0.0881559129532798,0.08380466057492644,0.0636692014974481,0.07138270153298533,0.0699103397067362,0.08124241210011303,1.0,-0.13091347316939148,-0.06135655706643097,0.14259497683811329
VelocityX,0.10093718266492761,0.09549982251039385,-0.07027538971180239,-0.043069389672821826,-0.31088396699033544,-0.44148851566179614,0.04192818087659509,-0.33777265764489106,0.40980548640724224,0.5110414731950035,-0.2868929070461145,0.582383550897002,-0.8876387668136805,-0.8738793759637337,-0.7987826129163573,-0.8433750908034091,-0.845446483045382,-0.8267641884335478,-0.42410995120018347,-0.4235108144145065,-0.37761978084917786,-0.41825261309535267,-0.4167314851674528,-0.37852986389386184,-0.13091347316939148,1.0,0.2930706800401394,-0.5413164179868232
VelocityY,0.06085392472814587,0.020564941655175133,-0.06756889817872058,-0.03310187264200007,-0.16126938184226894,-0.3735792445530722,0.3095872692948877,-0.09410380512291867,0.13834336388480403,0.3488394534681662,-0.6223038515475117,0.38318921829345637,-0.32359603814812715,-0.32252104516555896,-0.19350677171857597,-0.22586084864320494,-0.20782360388567775,-0.17108330339355407,-0.10349481298287692,-0.10589728436469258,-0.06582893252218254,-0.14227236022160308,-0.1435989132069646,-0.056403994487752906,-0.06135655706643097,0.2930706800401394,1.0,-0.31946996142303397
VelocityZ,-0.09158537062787662,-0.06529571423633426,-0.0045296777666880015,0.010811352738664574,0.7884653590899683,0.793345642444162,-0.6890443812368966,-0.29826989768178763,-0.7951526745019548,-0.8079277624513503,0.718478632000809,-0.19914244096366646,0.339975221714076,0.3314079272922453,0.43836743955137647,0.17086632040711056,0.17291778736954036,0.14080501144835314,-0.19339627222705208,-0.19489765536156492,-0.2757233756261895,-0.25583495303321513,-0.25595187042159984,-0.24427734852303143,0.14259497683811329,-0.5413164179868232,-0.31946996142303397,1.0
